make,model,year,mileage_min,mileage_max,rental,max_bid_jpy
MAZDA,CX-30,2023,0,50000,private,1855000
MAZDA,CX-30,2023,50001,60000,private,1705000
MAZDA,CX-5,2023,0,50000,private,2101000
MAZDA,CX-5,2023,50001,60000,private,1995000
MAZDA,CX-5,2023,0,50000,rental,1995000
MAZDA,CX-5,2023,50001,60000,rental,1940000
MAZDA,3,2023,0,50000,private,1605000
TOYOTA,RAV4,2023,0,50000,private,2495000
