db_name,area_price_name
U Tokyo,USS TOKYO
U Nagoya,USS NAGOYA
U Kyushu,USS KYUSHU
U Osaka,USS OSAKA
U Yokohama,USS YOKOHAMA
Honda AA Tokyo,HONDA TOKYO
